Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,RPM (USD),Rubies,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Community clip views,Watch time from community clips (hours),Remix count,Remix views,Post subscribers,Views from playlist,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
qPld59kY6xY,Mood Lighting Sunset Gradient - Twilight to Stary Night Sky - NO SOUND 2 HOURS,"Nov 9, 2024",7698,6,3.55,,6,4,2,1,1,0,0,0,0,0,0,,0,1,1.5,0,0,0,,0,0,,0,0,,0,0,,,0,,1,0.1184,6,0.4556,0,0.006,0:04:33,63,1.59
UGmRvJCcvSM,NELSON'S LAST WISH ⚓ Will & Testament Written Before the Battle of Trafalgar 🇬🇧,"Jul 5, 2025",159,6,55.84,,5,3,2,2,0,0,0,0,0,0,0,,0,0,1.833,0,0,12,0,0,0,,0,0,,0,0,,,0,1,1,0.0012,6,0.148,0,0.011,0:01:28,144,0.69
rKa-T0RjdP8,BATTLE of ALESIA ⚔️ CAESAR'S Own BATTLE Reports,"Jul 24, 2025",2489,5,32.56,,5,1,4,4,0,0,0,0,0,0,0,,1,0,19,0,0,0,,0,0,,0,2,0,0,0,,,0,1,0,0,5,1.1256,0,0.095,0:13:30,182,0.55
9n3GK0GovV4,SEE ALL 500+ MATCAPS from the MEGA KIT,"Jul 16, 2023",352,5,5.89,,5,4,1,1,0,0,0,0,0,0,0,,0,0,,,0,1,0,0,0,,0,0,,0,0,,,0,,2,0.0161,5,0.0288,0,,0:00:20,47,0
ELlEv_Gv0kY,CHROMA - 4K HD 1Hr VISUAL : Psychedelic Spirals : BACKGROUND & CHILL LoFi EDM Study Tracks LONG,"Sep 26, 2024",3272,5,3.36,,3,2,1,0,1,0,0,0,0,0,0,,0,0,2.4,0,0,0,,0,0,,0,0,,0,0,,,0,,0,0,5,0.1528,0,0.012,0:01:50,15,0
99Sf4iebREM,TechniCOLOR - LOFI 4K HD Background VISUALS & PLAYLIST - Psychedelic NEON & Trippy CHILL EDM Music,"Oct 11, 2024",3893,4,26.04,,4,4,0,0,0,0,0,0,0,0,0,,0,0,18,0,0,2,0,0,0,,0,0,,0,0,,,0,,0,0,4,1.1262,0,0.072,0:16:53,16,0
VjBAVxfAVbQ,My Tufting Journey - Learning to Use the Tufting Gun (and FAILING) - Mistakes I learned from,"May 15, 2023",87,4,60.53,,4,4,0,0,0,0,0,0,0,0,0,,0,0,1.25,0,0,0,,0,0,,0,0,,0,0,,,0,,0,0,4,0.0585,0,0.005,0:00:52,58,6.9
04qaICyWO4k,Last Knights of Europe ⚔️ Role of Napoleon’s Cavalry in War,"Aug 25, 2025",190,4,74.43,,4,0,4,3,1,0,0,0,0,1,0,100,0,0,0.333,0,1,9,11.11,0,0,,0,8,0,0,0,,,0,1,1,0.0522,4,0.1571,0,0.003,0:02:21,245,1.22
qwKi3SCIFbs,3D Animation in Spline: Best of 2025 Compilation,"May 13, 2025",71,4,31.15,,4,2,2,2,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,,0,0,,0,0,,,0,,0,0,4,0.0246,0,,0:00:22,3,0
QK_wUZZZIyM,✈️  D-DAY - WWII 🪖 PARATROOPERS who jumped into German-Occupied France tell their STORY!,"May 15, 2025",504,4,31.24,,4,2,2,2,0,0,0,0,0,0,0,,0,0,0.25,0,0,0,,0,0,,0,1,0,0,0,,,0,2,2,0.032,4,0.175,0,0.001,0:02:37,138,2.17
